matchNum,summoner,matchId,blueKills-redKills,blueAssists-redAssists,blueGold-redGold,blueAvgLevel-redAvgLevel,blueDamageToTurrets-redDamageToTurrets,blueDragonKills-redDragonKills,gameLength,numPlayers,outcome
1,LaggedOutt,NA1_4244967972,6,9,7653,0.8,5785,2,1738,10,1
2,LaggedOutt,NA1_4239906051,2,-15,-2725,-0.2,-13718,-5,2315,10,0
3,LaggedOutt,NA1_4239753083,11,31,11286,1.4,13681,2,1458,10,1
4,LaggedOutt,NA1_4239676674,20,45,3532,1.4,6117,4,1820,10,1
5,LaggedOutt,NA1_4239681733,-11,2,-6549,-1.0,-8649,-2,1211,10,0
6,LaggedOutt,NA1_4239647430,-13,-15,-10270,-0.8,-7863,0,1029,10,0
7,LaggedOutt,NA1_4238979548,-6,-5,-4216,-0.2,-8765,-3,1926,10,0
8,LaggedOutt,NA1_4238963297,8,44,-1137,-0.4,3777,-1,2308,10,0
9,LaggedOutt,NA1_4238950395,11,6,11935,1.2,12875,2,947,10,1
10,LaggedOutt,NA1_4238676468,-19,-9,-13548,-1.4,-12009,-3,1272,10,0
11,LaggedOutt,NA1_4238691916,21,26,5267,0.8,2812,3,1276,10,1
12,LaggedOutt,NA1_4237838676,-10,-9,-10810,-1.0,-16583,-2,1613,10,0
13,LaggedOutt,NA1_4236881960,-15,-8,-11661,-2.2,2726,-4,1810,10,0
14,LaggedOutt,NA1_4236769268,-20,-17,-8573,-1.6,-3748,-1,1266,10,0
15,LaggedOutt,NA1_4235937106,22,45,8795,1.2,8363,4,1638,10,1
16,LaggedOutt,NA1_4192426543,4,9,5621,0.6,4556,-2,1134,10,1
17,LaggedOutt,NA1_4192442124,-5,-20,-6205,-0.8,1999,-4,2622,10,0
18,LaggedOutt,NA1_4192346948,21,9,11007,1.8,8253,2,917,10,1
19,LaggedOutt,NA1_4192393621,22,31,6846,1.0,14120,2,1814,10,1
20,LaggedOutt,NA1_4003793823,-3,-15,-5602,-1.2,-9915,0,1932668,10,0
21,LaggedOutt,NA1_3969672753,15,26,8554,0.0,9348,2,3003816,10,1
22,METAPODxHARDEN,NA1_4243726549,1,34,5034,1.2,5254,0,1656,10,1
23,METAPODxHARDEN,NA1_4243693974,16,31,8929,1.8,-165,1,2079,10,1
24,METAPODxHARDEN,NA1_4243619069,-2,6,-11718,-1.2,-18522,1,2032,10,0
25,METAPODxHARDEN,NA1_4243604470,27,60,15046,1.8,8447,4,1845,10,1
26,METAPODxHARDEN,NA1_4243477809,-29,-44,-12642,-2.6,-7291,-2,1677,10,0
27,METAPODxHARDEN,NA1_4243481048,10,20,8852,0.6,18146,2,1914,10,1
28,METAPODxHARDEN,NA1_4239459755,6,1,-4508,-1.0,-21831,-2,2040,10,0
29,METAPODxHARDEN,NA1_4239402535,-3,10,-1662,0.0,-15024,-5,1977,10,0
30,METAPODxHARDEN,NA1_4239244669,-18,-22,-11305,-0.8,-22037,-1,1586,10,0
